"name","radiation","radiation_id"
"aug",84.832,"Radiation Pedernales 2023"
"sep",85.605,"Radiation Pedernales 2023"
"oct",92.892,"Radiation Pedernales 2023"
"nov",89.895,"Radiation Pedernales 2023"
"dec",96.519,"Radiation Pedernales 2023"
"jan",106.795,"Radiation Rocafuerte 2023"
"feb",95.368,"Radiation Rocafuerte 2023"
"mar",119.288,"Radiation Rocafuerte 2023"
"apr",113.295,"Radiation Rocafuerte 2023"
"may",105.989,"Radiation Rocafuerte 2023"
"jun",79.56,"Radiation Rocafuerte 2023"
"jul",80.6,"Radiation Rocafuerte 2023"
"aug",85.235,"Radiation Rocafuerte 2023"
"sep",87.555,"Radiation Rocafuerte 2023"
"oct",91.481,"Radiation Rocafuerte 2023"
"nov",90.285,"Radiation Rocafuerte 2023"
"dec",101.758,"Radiation Rocafuerte 2023"
